"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 08 23:06:50 MSK 2021","Fri Oct 08 23:06:55 MSK 2021","4738","","TestSmokeWebDriver.P4_Sections_menu.P5_Packages_FRESH_at_16_08_21.Test_01_PACKAGES_Go_to_package_FRESH","","TestSmokeWebDriver.P4_Sections_menu.P5_Packages_FRESH_at_16_08_21.Test_01_PACKAGES_Go_to_package_FRESH","goToPackage","Переход в пакет",""
"broken","Fri Oct 08 23:07:29 MSK 2021","Fri Oct 08 23:07:47 MSK 2021","18776","","Test_08_2_TV_Efir_SCREENSHOT_VRT_PW","","Test_08_2_TV_Efir_SCREENSHOT_VRT_PW","tvProgramInAir","Передачи в эфире (скриншоты)",""
"passed","Fri Oct 08 23:07:11 MSK 2021","Fri Oct 08 23:07:12 MSK 2021","828","","TestPw1","","TestPw1","shouldClickButton","shouldClickButton()",""
"broken","Fri Oct 08 23:07:29 MSK 2021","Fri Oct 08 23:07:47 MSK 2021","18717","","Test_01_2_TV_Program_SCREENSHOT_VRT_PW","","Test_01_2_TV_Program_SCREENSHOT_VRT_PW","historyViewing","Программа передач (скриншоты)",""
